side,category,name,beta,se,tstat,pval,n_obs,r2,abs_beta
effect,1,Revenue & Financial Growth,0.19063503678266142,0.04149202931681678,4.59449778479253,4.337927358947434e-06,7390,0.019320202308762746,0.19063503678266142
effect,4,Operational Efficiency &Tic Improve.,0.1322002091574495,0.025987574582185684,5.087054535980895,3.636672850948127e-07,7390,0.013476963764950334,0.1322002091574495
cause,1,Tech Innovation & Advancement,0.1291031117551409,0.029592973140929707,4.36262727439778,1.2850977897314915e-05,7390,0.013588155170319083,0.1291031117551409
effect,5,Cost Reduction & Efficiency,0.05900770812181509,0.01798149696639284,3.281579294098798,0.0010322749560382671,7390,0.00399680071810149,0.05900770812181509
effect,3,Product & Service Innovation,0.050837202790389016,0.0235931854528289,2.154740948060215,0.031182111555640265,7390,0.001823201481945258,0.050837202790389016
cause,2,Market Demand & Consumer Behavior,0.03878375460799348,0.026501640245814823,1.4634473280995604,0.1433450162909408,7390,0.0010936625725253002,0.03878375460799348
cause,3,Strategic Partnerships & Collab.,0.03641070145451529,0.03613183729237593,1.0077179624131154,0.3135898792627666,7390,0.0007030533707983455,0.03641070145451529
cause,4,Regulatory & Policy Drivers,0.0339874874441463,0.023326235933436933,1.4570498018253784,0.14510263350939026,7390,0.0008535992285763072,0.0339874874441463
effect,2,Market Expansion & Adoption,-0.0027426692940371016,0.02172387668610103,-0.12625137463571895,0.8995329455938366,7390,4.879359052911703e-06,0.0027426692940371016
cause,5,Cost & Economic Viability,-0.0002202568374415452,0.02896686739570038,-0.007603750672543847,0.9939331431955071,7390,2.2010637090730256e-08,0.0002202568374415452
